No.,Target Azimuth,Target Elevation,Stimuli,HRTF type,Repetition,Player’s Azimuth,Player’s Elevation,Reaction Time
373,0,0,Footstep,Generic,2,1.150305,-0.8007118,5.749512
374,150,30,PinkNoise,DL_Based,1,150.3003,-2.200718,5.990234
375,30,0,PinkNoise,DL_Based,1,43.75028,-1.950721,4.880859
376,60,0,Footstep,3D_Based,2,-51.39969,0.4992676,4.601074
377,60,30,Footstep,3D_Based,3,-47.79968,-0.4507233,3.362793
378,30,30,Footstep,DL_Based,2,46.10032,-1.600723,4.640381
379,60,0,PinkNoise,DL_Based,4,-45.39966,-0.8007231,3.467529
380,60,30,PinkNoise,DL_Based,5,-46.64966,-0.6507232,2.975586
381,60,0,Footstep,3D_Based,4,-60.94965,2.199249,5.348633
382,60,30,PinkNoise,3D_Based,1,51.45039,24.69925,3.722656
383,30,0,PinkNoise,3D_Based,2,29.15037,24.44925,3.106445
384,90,0,Footstep,DL_Based,1,-74.29965,-2.350742,7.177979
